COMPANY,TYPE,INDUSTRY,EVALUATION,CURRENCY,AV SYMBOL,CODE ,LINK
Casino ,Public,Retailers,,gbp,0HB1.ILN,EPA: CO,https://www.google.com/search?tbm=fin&ei=XOtDXfLFMYLFwQL1vbuACA&stick=H4sIAAAAAAAAAONgecRoxi3w8sc9YSndSWtOXmNU5-IKzsgvd80rySypFJLkYoOy-KV4ubj10_UNU8pMq7KLK3gAOFDzKzsAAAA&q=EPA%3A+CO&oq=casino&gs_l=finance-immersive.1.0.81l3.14650.15305.0.18506.6.6.0.0.0.0.69.369.6.6.0....0...1c.1.64.finance-immersive..0.6.368....0.T08aagJxnFI#scso=_y5daXZuaGOqmrgSE4oT4DA6:0
Costco,Public,Retailers,,usd,COST,NASDAQ: COST,"https://www.google.com/search?tbm=fin&ei=cOtDXYfRDsTWwAKz1qjQCQ&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKtyLNNSeAAO6DqNOgAAAA&q=NASDAQ:+COST&oq=costco&gs_l=finance-immersive.1.0.81l3.14435.15546.0.16682.8.7.1.0.0.0.94.483.7.7.0....0...1c.1.64.finance-immersive..0.7.420....0.KZKGWERk_Rs#scso=_getDXeiZJYfMwQLmtoXQBg8:0,_55daXe2cIKf2qwGgrIiACw8:0"
Kroger ,Public,Retailers,,usd,KR,NYSE: KR,"https://www.google.com/search?tbm=fin&ei=getDXeiZJYfMwQLmtoXQBg&q=kroger&oq=kroger&gs_l=finance-immersive.3..81l3.296320.296935.0.297030.6.6.0.0.0.0.110.456.5j1.6.0....0...1c.1.64.finance-immersive..0.6.455....0.cycfnjbSVmE#scso=_q-xDXfqAGcPnmwWAkYTgBQ8:0,__ZdaXZHaFK6xrgT964-oCw8:0"
METRO ,Public,Retailers,,cad,MRU.TRT,TSE: MRU,https://www.google.com/search?tbm=fin&ei=q-xDXfqAGcPnmwWAkYTgBQ&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNM5LKcgrjcyp5ABzSctE8AAAA&q=TSE:+MRU&oq=metro&gs_l=finance-immersive.1.1.81l3.82791.83244.0.85224.5.5.0.0.0.0.149.417.4j1.5.0....0...1c.1.64.finance-immersive..0.5.415....0.7avnmuBhoy0#scso=_GJhaXafIFqLMrgSB86jgDw6:0
Tesco ,Public,Retailers,,gbp,TSCO.LON,LON: TSCO,https://www.google.com/search?tbm=fin&ei=Ae1DXYPUHaqEmwWt1JOwCQ&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNkrOzC9LjeQA8umb7OgAAAA&q=LON:+TSCO&oq=tesco&gs_l=finance-immersive.1.0.81l3.22091.23195.0.24330.5.5.0.0.0.0.67.313.5.5.0....0...1c.1.64.finance-immersive..0.5.313....0.jKC9QxpD9cU#scso=_LJhaXZ7-KfHKrgSmoKmQBQ6:0
DairyCrest (Saputo),Public,Dairy,,cad,SAP.TRT,TSE: SAP,https://www.google.com/search?q=saputo&tbm=fin#scso=_HZlaXcu-C4WMrwSpkYQI6:0
AAK,Public,Commodities,,usd,ARHUF,STO: AAK,"https://www.google.com/search?tbm=fin&ei=a7BCXbuLNMammwWJvL-gCA&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNkrOT4y2yeACu5Zb2OgAAAA&q=STO%3A+AAK&oq=AAK&gs_l=finance-immersive.1.0.81l2.15622.15990.0.17903.3.3.0.0.0.0.87.243.3.3.0....0...1c.1.64.finance-immersive..0.3.243....0.pch2j198QiY#scso=_frBCXfSoG8qLk74PyKWegA06:0,_OJlaXeTNA4eHwPAP_LO-0Ac6:0"
ADM ,Public,Commodities,,usd,ADM,NYSE: ADM,https://www.google.com/search?tbm=fin&ei=frBCXfSoG8qLk74PyKWegA0&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKuySwrTeACJYzt9OgAAAA&q=NYSE%3A+ADM&oq=adm&gs_l=finance-immersive.1.0.81l3.79935.80263.0.81965.3.3.0.0.0.0.112.268.2j1.3.0....0...1c.1.64.finance-immersive..0.3.268....0.910d4alzg24#scso=_XplaXfv9MfCorgTZm5HQDQ8:0
ANGLO-EASTERN PLANTATIONS ,Public,Commodities,,gbp,AEP.LON,LON: AEP,"https://www.google.com/search?q=ANGLO-EASTERN+PLANTATIONS&tbm=fin#scso=_F7BCXdTHFaeHk74P-LmF6A06:0,_dplaXfT3I_H2qwGE3oKADA6:0"
Astra Agro Lestari ,Public,Commodities,,idr,AALI.JKT,IDX: AALI,https://www.google.com/search?tbm=fin&ei=Gu1DXZn8J4TXmwWSwIToAw&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNq4xLkqrK0yt5AMtiXnk8AAAA&q=IDX:+AALI&oq=Astra+Agro+Lestari&gs_l=finance-immersive.1.0.81l2.25045.49709.0.50737.24.19.4.1.1.0.89.974.15.15.0....0...1c.1j2.64.finance-immersive..4.9.548.0..81i5k1.0.5kG_htNXc_I#scso=_iplaXeCbNPHJrgSU9ZbgBQ10:0
